[19:08:28] === Skills sync started ===
[19:08:28] ProjectRoot: D:\workSpace\hoye-skills-main\skill-collection
[19:08:28] ConfigFile: D:\workSpace\hoye-skills-main\skill-collection\_ops\sync-config.json
[19:08:29] OK   agent-readiness : no remote changes (4baf9e4)
[19:08:30] SYNC darwin-skill : 5539516 -> 8a8b662
[19:08:33]   whole -> skill-management/darwin-skill
[19:08:33]   files synced for darwin-skill
[19:08:34] SYNC impeccable : 63b04e2 -> f2c7051
[19:08:53]   whole -> frontend-ui/impeccable
[19:08:53]   files synced for impeccable
[19:08:55] OK   nuwa-skill : no remote changes (fe03746)
[19:08:57] SYNC huashu-design : a790f70 -> 0e842af
[19:09:02]   whole -> frontend-ui/huashu-design
[19:09:02]   files synced for huashu-design
[19:09:05] SYNC huashu-excel : 9348581 -> f941c17
[19:09:07]   whole -> productivity/huashu-excel
[19:09:07]   files synced for huashu-excel
[19:09:10] SYNC superpowers : b36e082 -> 5bf4e78
[19:09:13]   filtered skills -> dev-workflow/superpowers\skills
[19:09:13]   files synced for superpowers
[19:09:14] OK   claude-skills-library : no remote changes (90bbc16)
[19:09:16] OK   garden-skills : no remote changes (aaf9a82)
[19:09:17] SYNC khazix-skills : 7a5c493 -> 4f2db09
[19:09:20]   mapped aihot -> writing/aihot
[19:09:20]   mapped hv-analysis -> research/hv-analysis
[19:09:20]   mapped khazix-writer -> writing/khazix-writer
[19:09:20]   mapped neat-freak -> code-quality/neat-freak
[19:09:20]   mapped leader -> skill-management/leader
[19:09:20]   mapped storage-analyzer -> dev-workflow/storage-analyzer
[19:09:20]   files synced for khazix-skills
[19:09:22] OK   sanyuan-skills : no remote changes (08b6572)
[19:09:23] SYNC ecc : d8409a4 -> 934195f
[19:09:29]   filtered skills -> dev-workflow/ecc\skills
[19:09:29]   filtered agents -> dev-workflow/ecc\agents
[19:09:29]   filtered commands -> dev-workflow/ecc\commands
[19:09:29]   filtered rules -> dev-workflow/ecc\rules
[19:09:29]   filtered examples -> dev-workflow/ecc\examples
[19:09:29]   files synced for ecc
[19:09:31] OK   luban-skill : no remote changes (cea2da3)
[19:09:33] SYNC ljg-skills : 44f4105 -> 41991fc
[19:09:35]   mapped skills/ljg-blind -> dev-workflow/ljg-skills/skills/ljg-blind
[19:09:35]   mapped skills/ljg-book -> dev-workflow/ljg-skills/skills/ljg-book
[19:09:35]   mapped skills/ljg-card -> dev-workflow/ljg-skills/skills/ljg-card
[19:09:36]   mapped skills/ljg-classic -> dev-workflow/ljg-skills/skills/ljg-classic
[19:09:36]   mapped skills/ljg-constraint -> dev-workflow/ljg-skills/skills/ljg-constraint
[19:09:36]   mapped skills/ljg-invest -> dev-workflow/ljg-skills/skills/ljg-invest
[19:09:36]   mapped skills/ljg-is -> dev-workflow/ljg-skills/skills/ljg-is
[19:09:36]   mapped skills/ljg-learn -> dev-workflow/ljg-skills/skills/ljg-learn
[19:09:36]   mapped skills/ljg-paper -> dev-workflow/ljg-skills/skills/ljg-paper
[19:09:36]   mapped skills/ljg-plain -> dev-workflow/ljg-skills/skills/ljg-plain
[19:09:36]   mapped skills/ljg-present -> dev-workflow/ljg-skills/skills/ljg-present
[19:09:36]   mapped skills/ljg-push -> dev-workflow/ljg-skills/skills/ljg-push
[19:09:36]   mapped skills/ljg-qa -> dev-workflow/ljg-skills/skills/ljg-qa
[19:09:36]   mapped skills/ljg-rank -> dev-workflow/ljg-skills/skills/ljg-rank
[19:09:36]   mapped skills/ljg-read -> dev-workflow/ljg-skills/skills/ljg-read
[19:09:36]   mapped skills/ljg-relationship -> dev-workflow/ljg-skills/skills/ljg-relationship
[19:09:36]   mapped skills/ljg-roundtable -> dev-workflow/ljg-skills/skills/ljg-roundtable
[19:09:36]   mapped skills/ljg-structure -> dev-workflow/ljg-skills/skills/ljg-structure
[19:09:36]   mapped skills/ljg-teach -> dev-workflow/ljg-skills/skills/ljg-teach
[19:09:36]   mapped skills/ljg-think -> dev-workflow/ljg-skills/skills/ljg-think
[19:09:36]   mapped skills/ljg-word -> dev-workflow/ljg-skills/skills/ljg-word
[19:09:36]   mapped skills/ljg-writes -> dev-workflow/ljg-skills/skills/ljg-writes
[19:09:36]   files synced for ljg-skills
[19:09:38] OK   travel-memory-sticker-card : no remote changes (25ac975)
[19:09:39] SYNC travel-memory-card-duo : 7b081e5 -> 9348e16
[19:09:41]   whole -> creative/travel-memory-card-duo
[19:09:41]   files synced for travel-memory-card-duo
[19:09:43] SYNC pm-skills : 18468a9 -> 8607e3b
[19:09:47]   mapped pm-product-discovery/skills/opportunity-solution-tree -> product/opportunity-solution-tree
[19:09:47]   mapped pm-product-discovery/skills/identify-assumptions-new -> product/identify-assumptions-new
[19:09:47]   mapped pm-product-discovery/skills/identify-assumptions-existing -> product/identify-assumptions-existing
[19:09:47]   mapped pm-product-discovery/skills/prioritize-assumptions -> product/prioritize-assumptions
[19:09:47]   mapped pm-product-discovery/skills/metrics-dashboard -> product/metrics-dashboard
[19:09:47]   mapped pm-product-discovery/skills/summarize-interview -> research/summarize-interview
[19:09:47]   mapped pm-product-strategy/skills/product-strategy -> product/product-strategy
[19:09:47]   mapped pm-product-strategy/skills/value-proposition -> product/value-proposition
[19:09:47]   mapped pm-execution/skills/strategy-red-team -> product/strategy-red-team
[19:09:47]   mapped pm-execution/skills/pre-mortem -> product/pre-mortem
[19:09:47]   mapped pm-execution/skills/brainstorm-okrs -> product/brainstorm-okrs
[19:09:47]   mapped pm-execution/skills/outcome-roadmap -> product/outcome-roadmap
[19:09:47]   mapped pm-market-research/skills/user-personas -> research/user-personas
[19:09:48]   mapped pm-market-research/skills/market-sizing -> research/market-sizing
[19:09:48]   mapped pm-toolkit/skills/review-resume -> product/review-resume
[19:09:48]   mapped pm-ai-shipping/skills/intended-vs-implemented -> product/intended-vs-implemented
[19:09:48]   mapped pm-ai-shipping/skills/shipping-artifacts -> product/shipping-artifacts
[19:09:48]   mapped pm-data-analytics/skills/ab-test-analysis -> research/ab-test-analysis
[19:09:48]   mapped pm-data-analytics/skills/cohort-analysis -> research/cohort-analysis
[19:09:48]   mapped pm-data-analytics/skills/sql-queries -> research/sql-queries
[19:09:48]   mapped pm-execution/skills/create-prd -> product/create-prd
[19:09:48]   mapped pm-execution/skills/dummy-dataset -> product/dummy-dataset
[19:09:48]   mapped pm-execution/skills/job-stories -> product/job-stories
[19:09:48]   mapped pm-execution/skills/prioritization-frameworks -> product/prioritization-frameworks
[19:09:48]   mapped pm-execution/skills/release-notes -> product/release-notes
[19:09:48]   mapped pm-execution/skills/retro -> product/retro
[19:09:48]   mapped pm-execution/skills/sprint-plan -> product/sprint-plan
[19:09:48]   mapped pm-execution/skills/stakeholder-map -> product/stakeholder-map
[19:09:48]   mapped pm-execution/skills/summarize-meeting -> product/summarize-meeting
[19:09:48]   mapped pm-execution/skills/test-scenarios -> product/test-scenarios
[19:09:48]   mapped pm-execution/skills/user-stories -> product/user-stories
[19:09:48]   mapped pm-execution/skills/wwas -> product/wwas
[19:09:48]   mapped pm-go-to-market/skills/beachhead-segment -> business/beachhead-segment
[19:09:48]   mapped pm-go-to-market/skills/competitive-battlecard -> business/competitive-battlecard
[19:09:48]   mapped pm-go-to-market/skills/growth-loops -> business/growth-loops
[19:09:48]   mapped pm-go-to-market/skills/gtm-motions -> business/gtm-motions
[19:09:48]   mapped pm-go-to-market/skills/gtm-strategy -> business/gtm-strategy
[19:09:48]   mapped pm-go-to-market/skills/ideal-customer-profile -> business/ideal-customer-profile
[19:09:48]   mapped pm-market-research/skills/competitor-analysis -> research/competitor-analysis
[19:09:48]   mapped pm-market-research/skills/customer-journey-map -> research/customer-journey-map
[19:09:49]   mapped pm-market-research/skills/market-segments -> research/market-segments
[19:09:49]   mapped pm-market-research/skills/sentiment-analysis -> research/sentiment-analysis
[19:09:49]   mapped pm-market-research/skills/user-segmentation -> research/user-segmentation
[19:09:49]   mapped pm-marketing-growth/skills/marketing-ideas -> business/marketing-ideas
[19:09:49]   mapped pm-marketing-growth/skills/north-star-metric -> business/north-star-metric
[19:09:49]   mapped pm-marketing-growth/skills/positioning-ideas -> business/positioning-ideas
[19:09:49]   mapped pm-marketing-growth/skills/product-name -> business/product-name
[19:09:49]   mapped pm-marketing-growth/skills/value-prop-statements -> business/value-prop-statements
[19:09:49]   mapped pm-product-discovery/skills/analyze-feature-requests -> product/analyze-feature-requests
[19:09:49]   mapped pm-product-discovery/skills/brainstorm-experiments-existing -> product/brainstorm-experiments-existing
[19:09:49]   mapped pm-product-discovery/skills/brainstorm-experiments-new -> product/brainstorm-experiments-new
[19:09:49]   mapped pm-product-discovery/skills/brainstorm-ideas-existing -> product/brainstorm-ideas-existing
[19:09:49]   mapped pm-product-discovery/skills/brainstorm-ideas-new -> product/brainstorm-ideas-new
[19:09:49]   mapped pm-product-discovery/skills/interview-script -> research/interview-script
[19:09:49]   mapped pm-product-discovery/skills/prioritize-features -> product/prioritize-features
[19:09:49]   mapped pm-product-strategy/skills/ansoff-matrix -> product/ansoff-matrix
[19:09:49]   mapped pm-product-strategy/skills/business-model -> product/business-model
[19:09:49]   mapped pm-product-strategy/skills/lean-canvas -> product/lean-canvas
[19:09:49]   mapped pm-product-strategy/skills/monetization-strategy -> product/monetization-strategy
[19:09:49]   mapped pm-product-strategy/skills/pestle-analysis -> product/pestle-analysis
[19:09:49]   mapped pm-product-strategy/skills/porters-five-forces -> product/porters-five-forces
[19:09:49]   mapped pm-product-strategy/skills/pricing-strategy -> product/pricing-strategy
[19:09:49]   mapped pm-product-strategy/skills/product-vision -> product/product-vision
[19:09:49]   mapped pm-product-strategy/skills/startup-canvas -> product/startup-canvas
[19:09:50]   mapped pm-product-strategy/skills/swot-analysis -> product/swot-analysis
[19:09:50]   mapped pm-toolkit/skills/draft-nda -> product/draft-nda
[19:09:50]   mapped pm-toolkit/skills/grammar-check -> writing/grammar-check
[19:09:50]   mapped pm-toolkit/skills/privacy-policy -> product/privacy-policy
[19:09:50]   files synced for pm-skills
[19:09:51] SYNC mattpocock-skills : 6654f6b -> c55ee46
[19:09:53]   mapped skills/engineering/tdd -> dev-workflow/mattpocock-skills/skills/tdd
[19:09:54]   mapped skills/engineering/implement -> dev-workflow/mattpocock-skills/skills/implement
[19:09:54]   mapped skills/engineering/to-spec -> dev-workflow/mattpocock-skills/skills/to-spec
[19:09:54]   mapped skills/engineering/to-tickets -> dev-workflow/mattpocock-skills/skills/to-tickets
[19:09:54]   mapped skills/engineering/diagnosing-bugs -> dev-workflow/mattpocock-skills/skills/diagnosing-bugs
[19:09:54]   mapped skills/engineering/codebase-design -> dev-workflow/mattpocock-skills/skills/codebase-design
[19:09:54]   mapped skills/engineering/domain-modeling -> dev-workflow/mattpocock-skills/skills/domain-modeling
[19:09:54]   mapped skills/engineering/wayfinder -> dev-workflow/mattpocock-skills/skills/wayfinder
[19:09:54]   mapped skills/engineering/research -> dev-workflow/mattpocock-skills/skills/research
[19:09:54]   mapped skills/engineering/prototype -> dev-workflow/mattpocock-skills/skills/prototype
[19:09:54]   mapped skills/engineering/grill-with-docs -> dev-workflow/mattpocock-skills/skills/grill-with-docs
[19:09:54]   mapped skills/engineering/resolving-merge-conflicts -> dev-workflow/mattpocock-skills/skills/resolving-merge-conflicts
[19:09:54]   mapped skills/engineering/improve-codebase-architecture -> dev-workflow/mattpocock-skills/skills/improve-codebase-architecture
[19:09:54]   mapped skills/productivity/grilling -> dev-workflow/mattpocock-skills/skills/grilling
[19:09:54]   mapped skills/productivity/wait-what -> dev-workflow/mattpocock-skills/skills/wait-what
[19:09:54]   mapped skills/productivity/handoff -> dev-workflow/mattpocock-skills/skills/handoff
[19:09:54]   mapped skills/productivity/writing-for-agents -> dev-workflow/mattpocock-skills/skills/writing-for-agents
[19:09:54]   mapped skills/misc/git-guardrails-claude-code -> dev-workflow/mattpocock-skills/skills/git-guardrails-claude-code
[19:09:54]   files synced for mattpocock-skills
[19:09:55] OK   reverse-skill : no remote changes (7e2097f)
[19:09:57] SYNC browser-skill : fa0439d -> 907b455
[19:09:57]   cloning browser-skill into cache...
[19:10:01]   cloned browser-skill (shallow)
[19:10:01]   mapped skill -> agent/browser-skill
[19:10:01]   files synced for browser-skill
[19:10:02] OK   stickman-video-director : no remote changes (8f5eaf5)
[19:10:03] SYNC hypit : 52ec35b -> 56057fd
[19:10:03]   cloning hypit into cache...
[19:10:08]   cloned hypit (shallow)
[19:10:08]   mapped skills/hypit -> video/hypit
[19:10:08]   files synced for hypit
[19:10:09] SYNC jianying-headless : bb1e72c -> 344a78f
[19:10:09]   cloning jianying-headless into cache...
[19:10:12]   cloned jianying-headless (shallow)
[19:10:12]   whole -> video/jianying-headless
[19:10:12]   files synced for jianying-headless
[19:10:13] OK   yichen-skills : no remote changes (e052e9d)
[19:10:15] OK   story-to-handdrawn-video : no remote changes (fbab5b2)
[19:10:16] OK   hand-drawn-video-prompts : no remote changes (dae2da3)
